"reportId","reportTitleArabic","reportTitleEnglish","reportDate","reportTimestamp","Settler attacks","Military checkpoints","Closures","Temporary checkpoints","Road closures","Arrests","Israeli live ammunition","Closure of entrances and crossings","Invasions","Airstrikes","Injuries","Destruction of property","Confiscation of property","Assaults on medical personnel","Assault on places of worship","Assaults on education sector","Closing","Harassment of security services","Land confiscation","Deportation","Assault","Establish military sites","detention","Palestinian live ammunition","Assaults on places of worship"
"65da8796aa3b22b35d16dd60","التقارير اليومية شباط 24 2024","Daily Reports February 24 2024","2024-02-24T00:00:00.000Z","2024-02-25 00:19:31","4","28","1","11","0","20","10","5","45","1","129","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"65d9357e927700c200f9ba47","التقارير اليومية شباط 23 2024","Daily Reports February 23, 2024","2024-02-23T00:00:00.000Z","2024-02-24 00:16:59","8","28","1","20","0","22","7","5","55","2","178","0","2","0","1","0","0","0","0","0","0","0","0","0","0"
"65d7e4172cbe27f1e8ad3350","التقارير اليومية شباط 22 2024","Daily Reports February 22 2024","2024-02-22T00:00:00.000Z","2024-02-23 00:17:25","7","28","1","21","2","35","9","5","59","1","136","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"65d692b7ce86d0be5c15442d","التقارير اليومية شباط 21 2024","Daily Reports February 21 2024","2024-02-21T00:00:00.000Z","2024-02-22 00:17:57","9","28","1","19","0","54","9","5","47","1","166","3","1","0","1","0","0","0","0","0","0","0","0","0","0"
"65d54135f372af3c06613ad3","التقارير اليومية شباط 20 2024","Daily Reports February 20 2024","2024-02-20T00:00:00.000Z","2024-02-21 00:17:54","8","31","1","8","1","25","11","5","41","1","150","0","2","0","1","0","0","0","0","0","0","0","0","0","0"
"65d3efb61fa191bf30b4ee40","التقارير اليومية شباط 19 2024","Daily Reports February 19 2024","2024-02-19T00:00:00.000Z","2024-02-20 00:17:55","11","29","1","18","0","49","7","5","39","1","149","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"65d29e67a6157528d43bff81","التقارير اليومية شباط 18 2024","Daily Reports February 18 2024","2024-02-18T00:00:00.000Z","2024-02-19 00:18:46","6","28","1","16","1","15","6","5","28","1","208","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65d14d1215982140d363fc74","التقارير اليومية شباط 17 2024","Daily Reports February 17 2024","2024-02-17T00:00:00.000Z","2024-02-18 00:19:28","3","28","1","11","3","7","9","5","36","1","127","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"65cffb32ebbae50c2cdd1baa","التقارير اليومية شباط 16 2024","Daily Reports February 16 2024","2024-02-16T00:00:00.000Z","2024-02-17 00:17:47","1","28","1","13","0","17","7","5","45","1","158","0","1","1","1","0","0","0","1","1","0","0","0","0","0"
"65cea9a1de690557438ce7c3","التقارير اليومية شباط 15 2024","Daily Reports February 15 2024","2024-02-15T00:00:00.000Z","2024-02-16 00:17:34","6","28","1","10","0","20","8","5","81","1","114","3","3","0","2","0","0","0","0","0","0","0","0","0","0"
"65cd583482440b7ff9a65882","التقارير اليومية شباط 14 2024","Daily Reports February 14 2024","2024-02-14T00:00:00.000Z","2024-02-15 00:17:49","7","27","1","9","1","29","7","5","31","1","149","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"65cc06cff700f3e69b7e987b","التقارير اليومية شباط 13 2024","Daily Reports February 13 2024","2024-02-13T00:00:00.000Z","2024-02-14 00:18:21","6","27","1","15","0","32","9","5","30","1","164","4","1","0","1","0","0","0","0","0","0","0","0","0","0"
"65cab565bc6925274b37d5af","التقارير اليومية شباط 12 2024","Daily Reports February 12 2024","2024-02-12T00:00:00.000Z","2024-02-13 00:18:44","3","27","1","12","0","55","11","5","29","1","204","2","0","0","1","0","0","0","0","0","0","0","0","0","0"
"65c964184bc9c4b96b655aad","التقارير اليومية شباط 11 2024","Daily Reports February 11 2024","2024-02-11T00:00:00.000Z","2024-02-12 00:19:34","2","27","1","18","0","9","7","5","27","1","175","3","2","0","0","0","0","0","0","0","0","0","0","0","0"
"65c8129d2634631fafeef325","التقارير اليومية شباط 10 2024","Daily Reports February 10 2024","2024-02-10T00:00:00.000Z","2024-02-11 00:19:38","8","27","1","12","1","26","6","5","31","1","156","0","2","0","1","0","0","0","0","0","0","0","0","0","0"
"65c6c08ed6635299bf2261ee","التقارير اليومية شباط 09 2024","Daily Reports February 09 2024","2024-02-09T00:00:00.000Z","2024-02-10 00:17:16","5","29","1","13","0","16","7","5","65","1","149","1","9","0","2","0","0","0","0","0","0","0","0","0","0"
"65c56f3074d9aa4ed64c7f01","التقارير اليومية شباط 08 2024","Daily Reports February 08 2024","2024-02-08T00:00:00.000Z","2024-02-09 00:17:49","4","28","1","16","0","20","4","5","67","1","179","1","0","0","1","0","0","0","0","0","1","0","0","0","0"
"65c41db01b1574f4a0d4fffa","التقارير اليومية شباط 07 2024","Daily Reports February 07 2024","2024-02-07T00:00:00.000Z","2024-02-08 00:17:50","2","28","1","18","0","44","6","5","43","1","171","6","5","1","1","0","0","0","0","0","0","0","0","0","0"
"65c2cc086f8d8f889b4ce7da","التقارير اليومية شباط 06 2024","Daily Reports February 06 2024","2024-02-06T00:00:00.000Z","2024-02-07 00:17:06","4","27","1","9","1","25","6","5","30","1","144","1","0","0","1","0","0","0","0","0","0","1","0","0","0"
"65c17ad228359e36404f9439","التقارير اليومية شباط 05 2024","Daily Reports February 05 2024","2024-02-05T00:00:00.000Z","2024-02-06 00:18:22","3","28","1","23","1","38","8","5","113","1","206","2","3","0","1","0","0","0","0","2","0","0","0","0","0"
"65c029934548dbcd962483b1","التقارير اليومية شباط 04 2024","Daily Reports February 04 2024","2024-02-04T00:00:00.000Z","2024-02-05 00:19:29","8","29","1","15","1","17","13","5","40","1","182","0","2","0","0","0","0","0","0","0","0","0","0","1","0"
"65bed81912e80357f3d83b8b","التقارير اليومية شباط 03 2024","Daily Reports February 03 2024","2024-02-03T00:00:00.000Z","2024-02-04 00:19:33","3","28","1","13","1","14","7","5","41","1","167","0","6","0","1","0","0","0","0","0","0","0","0","1","0"
"65bd865039f65f584bd11724","التقارير اليومية شباط 02 2024","Daily Reports February 02 2024","2024-02-02T00:00:00.000Z","2024-02-03 00:18:21","3","29","1","17","1","42","6","5","56","1","150","0","2","0","1","0","0","0","0","0","0","0","0","0","0"
"65bc34a188eb0723cba933e7","التقارير اليومية شباط 01 2024","Daily Reports February 01 2024","2024-02-01T00:00:00.000Z","2024-02-02 00:17:35","6","29","1","16","0","53","4","5","70","1","194","0","2","0","2","0","0","0","0","0","0","0","0","0","0"
"65bae36f4228e01fc6385d20","التقارير اليومية كانون الثاني 31 2024","January 31, 2024","2024-01-31T00:00:00.000Z","2024-02-01 00:18:53","1","29","1","16","0","31","4","5","29","1","315","2","0","0","1","0","0","0","0","0","0","0","0","1","0"
